25W        LAN 171023 0600  40.0N  145.1E WPAC   60   978
25W        LAN 171023 0000  37.3N  141.6E WPAC   65   975
25W        LAN 171023 0000  37.3N  141.6E WPAC   65   975
25W        LAN 171023 0000  37.3N  141.6E WPAC   65   975
25W        LAN 171022 1800  34.6N  138.6E WPAC   90   947
25W        LAN 171022 1800  34.6N  138.6E WPAC   90   947
25W        LAN 171022 1800  34.6N  138.6E WPAC   90   947
25W        LAN 171022 1200  32.1N  136.3E WPAC  105   934
25W        LAN 171022 1200  32.1N  136.3E WPAC  105   934
25W        LAN 171022 1200  32.1N  136.3E WPAC  105   934
25W        LAN 171022 0600  29.9N  134.6E WPAC  115   925
25W        LAN 171022 0600  29.9N  134.6E WPAC  115   925
25W        LAN 171022 0600  29.9N  134.6E WPAC  115   925
25W        LAN 171022 0000  27.8N  133.8E WPAC  125   925
25W        LAN 171022 0000  27.8N  133.8E WPAC  125   925
25W        LAN 171022 0000  27.8N  133.8E WPAC  125   925
25W        LAN 171021 1800  25.5N  133.3E WPAC  135   914
25W        LAN 171021 1800  25.5N  133.3E WPAC  135   914
25W        LAN 171021 1800  25.5N  133.3E WPAC  135   914
25W        LAN 171021 1200  23.8N  132.6E WPAC  135   922
25W        LAN 171021 1200  23.8N  132.6E WPAC  135   922
25W        LAN 171021 1200  23.8N  132.6E WPAC  135   922
25W        LAN 171021 0600  22.3N  131.9E WPAC  135   922
25W        LAN 171021 0600  22.3N  131.9E WPAC  135   922
25W        LAN 171021 0600  22.3N  131.9E WPAC  135   922
25W        LAN 171021 0000  21.4N  131.2E WPAC  135   915
25W        LAN 171021 0000  21.4N  131.2E WPAC  135   915
25W        LAN 171021 0000  21.4N  131.2E WPAC  135   915
25W        LAN 171020 1800  20.7N  130.7E WPAC  130   921
25W        LAN 171020 1800  20.7N  130.7E WPAC  130   921
25W        LAN 171020 1800  20.7N  130.7E WPAC  130   921
25W        LAN 171020 1200  20.2N  130.3E WPAC  110   941
25W        LAN 171020 1200  20.2N  130.3E WPAC  110   941
25W        LAN 171020 1200  20.2N  130.3E WPAC  110   941
25W        LAN 171020 0600  19.7N  130.1E WPAC  100   948
25W        LAN 171020 0600  19.7N  130.1E WPAC  100   948
25W        LAN 171020 0600  19.7N  130.1E WPAC  100   948
25W        LAN 171020 0000  18.8N  130.0E WPAC   85   962
25W        LAN 171020 0000  18.8N  130.0E WPAC   85   962
25W        LAN 171020 0000  18.8N  130.0E WPAC   85   962
25W        LAN 171019 1800  18.0N  129.9E WPAC   75   971
25W        LAN 171019 1800  18.0N  129.9E WPAC   75   971
25W        LAN 171019 1800  18.0N  129.9E WPAC   75   971
25W        LAN 171019 1200  17.0N  130.0E WPAC   75   971
25W        LAN 171019 1200  17.0N  130.0E WPAC   75   971
25W        LAN 171019 1200  17.0N  130.0E WPAC   75   971
25W        LAN 171019 0600  16.3N  130.1E WPAC   75   975
25W        LAN 171019 0600  16.3N  130.1E WPAC   75   975
25W        LAN 171019 0600  16.3N  130.1E WPAC   75   975
25W        LAN 171019 0000  15.4N  130.6E WPAC   65   984
25W        LAN 171019 0000  15.4N  130.6E WPAC   65   984
25W        LAN 171019 0000  15.4N  130.6E WPAC   65   984
25W        LAN 171018 1800  14.7N  131.4E WPAC   65   982
25W        LAN 171018 1800  14.7N  131.4E WPAC   65   982
25W        LAN 171018 1800  14.7N  131.4E WPAC   65   982
25W        LAN 171018 1200  14.0N  131.8E WPAC   65   981
25W        LAN 171018 1200  14.0N  131.8E WPAC   65   981
25W        LAN 171018 1200  14.0N  131.8E WPAC   65   981
25W        LAN 171018 0600  12.9N  132.3E WPAC   65   978
25W        LAN 171018 0600  12.9N  132.3E WPAC   65   978
25W        LAN 171018 0600  12.9N  132.3E WPAC   65   978
25W        LAN 171018 0000  11.9N  132.3E WPAC   65   977
25W        LAN 171018 0000  11.9N  132.3E WPAC   65   977
25W        LAN 171018 0000  11.9N  132.3E WPAC   65   977
25W        LAN 171017 1800  11.1N  132.3E WPAC   60   979
25W        LAN 171017 1800  11.1N  132.3E WPAC   60   979
25W        LAN 171017 1200  10.4N  132.3E WPAC   55   987
25W        LAN 171017 1200  10.4N  132.3E WPAC   55   987
25W        LAN 171017 0600  10.0N  132.2E WPAC   50   992
25W        LAN 171017 0600  10.0N  132.2E WPAC   50   992
25W        LAN 171017 0000  10.3N  132.1E WPAC   50   990
25W        LAN 171016 1800  10.6N  132.5E WPAC   40   995
25W        LAN 171016 1200  10.7N  133.3E WPAC   35  1000
25W        LAN 171016 0600  10.7N  134.5E WPAC   35  1001
25W        LAN 171016 0000  10.6N  135.7E WPAC   35  1001
25W        LAN 171015 1800  10.1N  136.4E WPAC   30  1002
25W        LAN 171015 1200   9.3N  136.8E WPAC   25  1002
25W        LAN 171015 0600   9.0N  137.3E WPAC   20  1003
25W        LAN 171015 0000   8.5N  137.9E WPAC   20  1004
25W        LAN 171014 1800   7.9N  138.2E WPAC   20  1004
25W        LAN 171014 1200   7.8N  138.7E WPAC   20  1005
25W        LAN 171014 0600   8.3N  139.2E WPAC   20  1007
25W        LAN 171014 0000   8.5N  139.7E WPAC   20  1006
25W        LAN 171013 1800   8.7N  140.6E WPAC   15  1006
25W        LAN 171013 1200   8.7N  141.7E WPAC   15  1010
25W        LAN 171013 0600   8.7N  142.8E WPAC   15  1010
25W        LAN 171013 0000   8.5N  143.5E WPAC   15  1010
25W        LAN 171012 1800   8.3N  144.2E WPAC   15  1010
